"deviceName","groupName","tagName","address","dataType","scanRateMs","enabled","mqttPublishEnabled","unit","pointCode","accessMode","description"
"ChannelD1101.DeviceD1101","","AskBARCODE1","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE1","Int16","100","true","false","","D0005510","ReadWrite","润滑条码1"
"ChannelD1101.DeviceD1101","","AskBARCODE2","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE2","Int16","100","true","false","","D0005511","ReadWrite","润滑条码2"
"ChannelD1101.DeviceD1101","","AskBARCODE3","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE3","Int16","100","true","false","","D0005512","ReadWrite","润滑条码3"
"ChannelD1101.DeviceD1101","","AskBARCODE4","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE4","Int16","100","true","false","","D0005513","ReadWrite","润滑条码4"
"ChannelD1101.DeviceD1101","","AskBARCODE5","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE5","Int16","100","true","false","","D0005514","ReadWrite","润滑条码5"
"ChannelD1101.DeviceD1101","","AskBARCODE6","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE6","Int16","100","true","false","","D0005515","ReadWrite","润滑条码6"
"ChannelD1101.DeviceD1101","","AskBARCODE7","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE7","Int16","100","true","false","","D0005516","ReadWrite","润滑条码7"
"ChannelD1101.DeviceD1101","","AskBARCODE8","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE8","Int16","100","true","false","","D0005517","ReadWrite","润滑条码8"
"ChannelD1101.DeviceD1101","","AskBARCODE9","ns=2;s=ChannelD1101.DeviceD1101.AskBARCODE9","Int16","100","true","false","","D0005518","ReadWrite","润滑条码9"
"ChannelD1101.DeviceD1101","","CCW_LFD_KFG","ns=2;s=ChannelD1101.DeviceD1101.CCW_LFD_KFG","Int16","100","true","false","","D0010134","ReadWrite","CCW  LFD  量(+/-)"
"ChannelD1101.DeviceD1101","","CCW_LFV_10H_DEG","ns=2;s=ChannelD1101.DeviceD1101.CCW_LFV_10H_DEG","Int16","100","true","false","","D0010130","ReadWrite","CCW  LFV  10H  角度"
